Email,Intent
Please review the attached report and provide feedback.,Request
Join us for the weekly project update meeting tomorrow at 10 AM.,Informational
I am writing to inform you of the changes in the project timeline.,Informational
Could you please send me the latest version of the project plan?,Request
We are pleased to confirm your order has been shipped.,Transaction
Thank you for your service; I would like to raise a complaint about...,Feedback
This month’s newsletter includes updates on our latest product launches.,Informational
We would appreciate your feedback on our services.,Feedback
Can we arrange a call to discuss your requirements?,Request
Your subscription renewal is confirmed. Thank you for staying with us!,Transaction
I've noticed a mistake in the invoice. Could you please check it?,Request
Looking forward to seeing you at the annual gala next month.,Informational
Please find the attached invoice for your recent purchase.,Transaction
We’ve updated our privacy policy. Here’s what you need to know.,Informational
I would like to schedule a meeting to discuss our next steps.,Request
Here is the confirmation of your hotel booking for your upcoming trip.,Transaction
We've received your application and will be in touch after our review.,Informational
Your feedback has been invaluable to our team's progress.,Feedback
Reminder: Your payment is due by the end of the week.,Transaction
Could you please provide the meeting minutes from last week?,Request
Happy Birthday! Enjoy a special discount on us.,Transaction
We’re rolling out new features next week. Stay tuned!,Informational
Please confirm your attendance for the upcoming workshop.,Request
We value your opinion! Take our survey and let us know what you think.,Feedback
An update to our terms of service has been made. Please review the changes.,Informational
